<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.09.17	16:00:00	6175.827	6181.453	6174.701	6180.891	12717	49462	1
2024.09.17	16:15:00	6181.453	6182.579	6179.203	6180.328	6334	23603	1
2024.09.17	16:30:00	6180.891	6185.955	6178.077	6181.453	9072	32530	1
2024.09.17	16:45:00	6181.453	6184.267	6179.765	6182.579	5975	20563	1
2024.09.17	17:00:00	6182.579	6185.392	6180.328	6180.891	5763	18526	1
2024.09.17	17:15:00	6180.891	6183.704	6179.203	6179.765	4589	16916	1
2024.09.17	17:30:00	6180.328	6181.453	6178.077	6178.640	4348	17186	1
2024.09.17	17:45:00	6178.640	6181.453	6177.515	6178.640	3330	13683	1
2024.09.17	18:00:00	6178.640	6179.203	6174.701	6176.389	4010	15501	1
2024.09.17	18:15:00	6176.389	6177.515	6173.576	6175.827	3092	15585	1
2024.09.18	09:00:00	6170.200	6182.579	6161.760	6182.579	62026	185486	1
2024.09.18	09:15:00	6182.579	6191.019	6170.200	6183.704	52275	153501	1
2024.09.18	09:30:00	6183.704	6189.893	6177.515	6189.893	40724	125270	1
2024.09.18	09:45:00	6189.331	6192.707	6176.952	6178.640	40175	117227	1
2024.09.18	10:00:00	6179.203	6187.643	6175.827	6178.077	32426	112868	1
2024.09.18	10:15:00	6177.515	6178.077	6164.011	6170.763	40956	135723	1
2024.09.18	10:30:00	6170.200	6171.888	6156.133	6158.947	47982	156290	1
2024.09.18	10:45:00	6158.947	6167.387	6153.883	6161.197	32242	107591	1
2024.09.18	11:00:00	6161.760	6166.824	6149.381	6156.696	33678	127932	1
2024.09.18	11:15:00	6156.133	6167.387	6156.133	6166.824	24817	85818	1
2024.09.18	11:30:00	6166.261	6170.763	6160.072	6160.072	22389	82376	1
2024.09.18	11:45:00	6160.635	6166.261	6158.947	6160.072	13428	43965	1
2024.09.18	12:00:00	6160.072	6169.637	6157.259	6166.261	18420	73344	1
2024.09.18	12:15:00	6166.261	6167.387	6160.072	6165.699	10856	44916	1
2024.09.18	12:30:00	6165.699	6180.328	6164.011	6176.952	21395	82717	1
2024.09.18	12:45:00	6176.952	6180.891	6173.013	6175.827	14631	49105	1
2024.09.18	13:00:00	6175.827	6180.328	6170.200	6175.827	17866	61224	1
2024.09.18	13:15:00	6175.827	6177.515	6171.888	6172.451	6480	20225	1
2024.09.18	13:30:00	6172.451	6180.891	6167.949	6179.765	13325	48401	1
2024.09.18	13:45:00	6180.328	6182.579	6176.389	6178.640	9489	36041	1
2024.09.18	14:00:00	6178.640	6179.765	6170.763	6175.264	12464	47073	1
2024.09.18	14:15:00	6175.264	6176.952	6165.699	6171.888	14122	47877	1
2024.09.18	14:30:00	6171.888	6172.451	6163.448	6164.573	9624	34116	1
2024.09.18	14:45:00	6164.011	6180.328	6163.448	6171.888	19514	68436	1
2024.09.18	15:00:00	6172.451	6173.013	6122.373	6126.875	85771	319742	1
2024.09.18	15:15:00	6127.437	6128.000	6108.307	6110.557	49385	181963	1
2024.09.18	15:30:00	6109.995	6121.248	6095.928	6119.560	57466	210318	1
2024.09.18	15:45:00	6119.560	6134.189	6112.808	6130.813	47924	165094	1
2024.09.18	16:00:00	6130.813	6149.944	6128.000	6130.251	48360	168084	1
2024.09.18	16:15:00	6130.813	6145.443	6126.312	6132.501	37691	112636	1
2024.09.18	16:30:00	6133.064	6152.195	6129.688	6149.381	31115	94604	1
2024.09.18	16:45:00	6149.381	6158.947	6146.568	6151.069	27492	88326	1
2024.09.18	17:00:00	6151.069	6155.571	6147.693	6154.445	10021	31760	1
2024.09.18	17:15:00	6154.445	6155.008	6134.189	6137.003	13218	43054	1
2024.09.18	17:30:00	6137.003	6148.256	6133.627	6146.568	9215	29361	1
2024.09.18	17:45:00	6146.005	6153.320	6144.880	6152.757	6145	22095	1
2024.09.18	18:00:00	6152.757	6155.008	6148.256	6155.008	3979	14117	1
2024.09.18	18:15:00	6153.883	6157.821	6149.944	6152.757	3083	16865	1
2024.09.19	09:00:00	6085.800	6097.053	6078.485	6093.115	83163	256913	1
2024.09.19	09:15:00	6093.115	6109.995	6088.613	6106.056	60869	187879	1
2024.09.19	09:30:00	6106.619	6116.747	6102.117	6106.056	53329	158389	1
2024.09.19	09:45:00	6106.619	6130.251	6105.493	6128.563	49798	165885	1
2024.09.19	10:00:00	6128.000	6129.125	6106.619	6112.808	52554	169986	1
2024.09.19	10:15:00	6113.371	6113.933	6097.616	6106.619	42116	150654	1
2024.09.19	10:30:00	6106.056	6115.621	6100.992	6114.496	43617	143811	1
2024.09.19	10:45:00	6113.933	6117.309	6108.869	6110.557	31978	118506	1
2024.09.19	11:00:00	6110.557	6111.120	6091.427	6102.680	48237	172803	1
2024.09.19	11:15:00	6102.680	6114.496	6102.117	6111.120	32775	122359	1
2024.09.19	11:30:00	6111.683	6122.373	6109.432	6121.811	26648	107931	1
2024.09.19	11:45:00	6121.811	6122.936	6107.744	6109.995	24721	103259	1
2024.09.19	12:00:00	6109.432	6113.371	6100.429	6104.931	24763	91321	1
2024.09.19	12:15:00	6104.368	6107.181	6096.491	6100.429	17579	56439	1
2024.09.19	12:30:00	6100.429	6109.995	6100.429	6102.117	13414	49211	1
2024.09.19	12:45:00	6102.680	6102.680	6088.051	6089.739	25670	92821	1
2024.09.19	13:00:00	6089.739	6098.179	6088.613	6093.115	17367	63752	1
2024.09.19	13:15:00	6093.115	6100.429	6091.989	6099.867	9924	34032	1
2024.09.19	13:30:00	6099.867	6103.243	6091.989	6102.680	11820	41569	1
2024.09.19	13:45:00	6102.680	6108.869	6100.429	6103.805	9545	36951	1
2024.09.19	14:00:00	6103.805	6107.181	6098.741	6099.867	13163	52513	1
2024.09.19	14:15:00	6100.429	6103.805	6095.365	6100.992	11618	43628	1
2024.09.19	14:30:00	6101.555	6110.557	6099.867	6109.432	11911	47379	1
2024.09.19	14:45:00	6109.432	6116.184	6107.181	6111.683	15255	75144	1
2024.09.19	15:00:00	6112.245	6120.685	6111.683	6115.059	17127	69969	1
2024.09.19	15:15:00	6115.059	6116.747	6109.995	6112.808	10517	43020	1
2024.09.19	15:30:00	6112.808	6119.560	6110.557	6118.435	8457	33656	1
2024.09.19	15:45:00	6118.997	6118.997	6111.120	6113.371	9536	33792	1
2024.09.19	16:00:00	6112.808	6114.496	6111.120	6111.120	5177	22294	1
2024.09.19	16:15:00	6111.683	6114.496	6111.120	6112.808	4425	23009	1
2024.09.19	16:30:00	6113.371	6118.435	6112.808	6116.184	6070	25696	1
2024.09.19	16:45:00	6116.747	6116.747	6108.869	6109.995	8907	34620	1
2024.09.19	17:00:00	6109.432	6119.560	6107.744	6116.184	8841	36896	1
2024.09.19	17:15:00	6115.621	6116.747	6111.683	6113.371	5177	20219	1
2024.09.19	17:30:00	6112.808	6116.184	6108.307	6114.496	3825	11676	1
2024.09.19	17:45:00	6115.059	6115.059	6110.557	6112.808	3397	10213	1
2024.09.19	18:00:00	6112.808	6113.933	6110.557	6112.245	1733	6362	1
2024.09.19	18:15:00	6112.808	6113.371	6108.307	6108.307	2323	12831	1
2024.09.20	09:00:00	6121.248	6133.064	6102.680	6111.683	65958	187576	1
2024.09.20	09:15:00	6112.245	6113.933	6103.243	6110.557	39454	127088	1
2024.09.20	09:30:00	6109.995	6122.936	6103.805	6114.496	59668	192242	1
2024.09.20	09:45:00	6115.059	6132.501	6109.432	6131.939	49720	171754	1
